"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERBB2IP",6.43505873762399e-10,0.747900445105534,0.324,0.292,1.65458230261788e-05
"FAHD2A",6.71869266825697e-10,0.572282049243692,0.402,0.379,1.72751025886223e-05
"MAN1B1",7.71693980270409e-10,0.555395509184085,0.327,0.296,1.98417956207128e-05
"CDK2AP1",7.84710801054641e-10,1.05155928491345,0.106,0.072,2.01764841167169e-05
"ZEB1",8.5776455904068e-10,0.745764432858793,0.164,0.124,2.2054842342054e-05
"PSD4",1.04260304998874e-09,0.803806656828344,0.114,0.079,2.68074096213105e-05
"WBP2",1.08690125933572e-09,0.388026246635051,0.581,0.611,2.794640518004e-05
"KATNBL1",1.12121280385108e-09,0.693841882400314,0.341,0.314,2.88286236126188e-05
"RP11-166P13.3",1.18729691537614e-09,0.925645761853253,0.116,0.08,3.05277782881513e-05
"HIF1A",1.32127625918167e-09,0.639047082566992,0.347,0.451,3.39726551760792e-05
"XIAP",1.35074046028157e-09,0.68362801939914,0.309,0.276,3.47302387147597e-05
"CTD-2336O2.1",1.35960528277264e-09,0.865061394926057,0.165,0.126,3.495817103065e-05
"HSD17B12",1.59497247721996e-09,0.460239538625746,0.511,0.504,4.10099323342796e-05
"CBLC",1.84177447054044e-09,0.728021010890151,0.12,0.084,4.73557051865358e-05
"ANKRA2",1.88141717374398e-09,0.719709023516256,0.231,0.193,4.83749983713052e-05
"DHTKD1",1.93260450309975e-09,0.563501619448959,0.412,0.404,4.96911269837007e-05
"APOBEC3B",1.94430824810853e-09,-0.341505062068991,0.075,0.108,4.99920536753665e-05
"ADCK5",1.99220775762622e-09,0.774230445088687,0.189,0.15,5.12236458640853e-05
"COQ10A",2.16460764682503e-09,0.64574035175934,0.282,0.253,5.56563918151651e-05
"CRADD",2.27430429719194e-09,0.621437064031434,0.269,0.232,5.84769120893991e-05
"RP11-465N4.4",2.28227809757582e-09,0.738103511801596,0.147,0.109,5.86819344448696e-05
"KIAA0232",2.55421898047546e-09,0.724697452893359,0.252,0.217,6.5674078425985e-05
"ZFP62",2.72584922496697e-09,-0.298866511552196,0.099,0.136,7.00870352723506e-05
"VAMP2",2.87180226858718e-09,0.578893384018454,0.443,0.43,7.38397799299135e-05
"AKAP12",3.20079784646528e-09,1.32980049302904,0.208,0.178,8.22989142283152e-05
